latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
12.875,79.375,146.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),cloud_cover (%),wind_speed_10m (km/h),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²)
2024-11-01T00:00,25.2,96,0.00,100,1.8,0.0,0.0,0.0
2024-11-01T01:00,25.1,96,0.00,100,1.8,0.0,0.0,0.0
2024-11-01T02:00,25.0,96,0.00,100,1.5,0.0,0.0,0.0
2024-11-01T03:00,24.9,97,0.00,100,1.5,0.0,0.0,0.0
2024-11-01T04:00,24.7,97,0.00,80,0.5,0.0,0.0,0.0
2024-11-01T05:00,24.9,97,0.00,72,1.1,0.0,0.0,0.0
2024-11-01T06:00,24.7,98,0.00,80,1.9,6.0,1.0,5.0
2024-11-01T07:00,25.6,95,0.00,72,3.0,101.0,34.0,67.0
2024-11-01T08:00,26.9,88,0.00,51,4.3,281.0,152.0,129.0
2024-11-01T09:00,28.0,80,0.00,58,4.4,463.0,308.0,155.0
2024-11-01T10:00,29.0,74,0.00,75,4.9,605.0,395.0,210.0
2024-11-01T11:00,29.3,73,0.00,78,5.9,651.0,420.0,231.0
2024-11-01T12:00,30.0,73,0.00,73,6.3,732.0,480.0,252.0
2024-11-01T13:00,30.7,70,0.00,75,6.5,715.0,447.0,268.0
2024-11-01T14:00,30.5,68,0.00,79,6.9,541.0,313.0,228.0
2024-11-01T15:00,29.8,71,0.00,79,8.6,357.0,181.0,176.0
2024-11-01T16:00,28.9,76,0.00,79,10.5,209.0,99.0,110.0
2024-11-01T17:00,28.6,77,0.00,100,9.7,73.0,24.0,49.0
2024-11-01T18:00,27.3,85,0.00,100,9.0,1.0,0.0,1.0
2024-11-01T19:00,26.5,89,0.00,100,7.3,0.0,0.0,0.0
2024-11-01T20:00,26.2,90,0.00,73,2.3,0.0,0.0,0.0
2024-11-01T21:00,25.9,91,0.00,78,1.1,0.0,0.0,0.0
2024-11-01T22:00,25.7,91,0.00,80,0.8,0.0,0.0,0.0
2024-11-01T23:00,25.3,95,0.00,72,1.8,0.0,0.0,0.0
2024-11-02T00:00,25.0,96,0.00,69,2.2,0.0,0.0,0.0
2024-11-02T01:00,25.0,96,0.00,72,2.2,0.0,0.0,0.0
2024-11-02T02:00,24.8,96,0.00,75,2.2,0.0,0.0,0.0
2024-11-02T03:00,24.6,97,0.00,67,2.2,0.0,0.0,0.0
2024-11-02T04:00,24.5,97,0.00,68,2.2,0.0,0.0,0.0
2024-11-02T05:00,24.7,96,0.00,73,2.2,0.0,0.0,0.0
2024-11-02T06:00,24.7,96,0.00,73,1.8,6.0,1.0,5.0
2024-11-02T07:00,25.6,93,0.00,72,2.3,98.0,36.0,62.0
2024-11-02T08:00,26.9,88,0.00,55,2.5,275.0,143.0,132.0
2024-11-02T09:00,27.9,79,0.00,54,6.6,455.0,278.0,177.0
2024-11-02T10:00,28.5,78,0.00,62,8.4,583.0,376.0,207.0
2024-11-02T11:00,30.0,71,0.00,59,6.2,748.0,511.0,237.0
2024-11-02T12:00,30.8,68,0.00,64,7.6,784.0,507.0,277.0
2024-11-02T13:00,31.1,66,0.00,74,9.4,671.0,389.0,282.0
