latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,
38.5625,-8.875,55,0,Europe/Lisbon,WET,,,
,,,,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),cloud_cover (%),wind_speed_10m (km/h),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²)
2022-12-01T00:00,12.6,100,0,100,6.4,0,0,0
2022-12-01T01:00,12.5,98,0,100,7.4,0,0,0
2022-12-01T02:00,12.5,97,0,100,9.8,0,0,0
2022-12-01T03:00,12.3,96,0,98,10.7,0,0,0
2022-12-01T04:00,11.9,95,0,100,12.1,0,0,0
2022-12-01T05:00,11.7,94,0,100,13,0,0,0
2022-12-01T06:00,11.2,96,0,99,12.8,0,0,0
2022-12-01T07:00,11.2,94,0,100,10.4,0,0,0
2022-12-01T08:00,11.2,94,0,100,10,1,0,1
2022-12-01T09:00,11.1,93,0,100,12.6,27,1,26
2022-12-01T10:00,11.3,90,0,99,14.8,69,2,67
2022-12-01T11:00,11.8,88,0,98,16.3,107,6,101
2022-12-01T12:00,13.4,82,0,70,15.4,250,86,164
2022-12-01T13:00,14.6,77,0,24,15,451,305,146
2022-12-01T14:00,15.3,73,0,38,14.8,442,335,107
2022-12-01T15:00,15.4,73,0,8,14.8,358,269,89
2022-12-01T16:00,15.1,74,0,0,12.5,233,177,56
2022-12-01T17:00,14.1,80,0,0,8,82,53,29
2022-12-01T18:00,13,83,0,0,5.8,1,0,1
2022-12-01T19:00,12.3,86,0,0,5.9,0,0,0
2022-12-01T20:00,11.8,86,0,0,6,0,0,0
2022-12-01T21:00,11.4,87,0,0,5.5,0,0,0
2022-12-01T22:00,10.8,88,0,0,5.4,0,0,0
2022-12-01T23:00,10.3,89,0,0,5.1,0,0,0
2022-12-02T00:00,9.7,89,0,0,5.1,0,0,0
2022-12-02T01:00,9.4,87,0,0,5.1,0,0,0
2022-12-02T02:00,9,88,0,0,4.7,0,0,0
2022-12-02T03:00,8.5,89,0,0,4.7,0,0,0
2022-12-02T04:00,8,90,0,0,4.7,0,0,0
2022-12-02T05:00,7.6,90,0,0,5.4,0,0,0
2022-12-02T06:00,7,89,0,0,5.8,0,0,0
2022-12-02T07:00,6.8,89,0,0,5.4,0,0,0
2022-12-02T08:00,6.5,89,0,0,5.1,6,2,4
2022-12-02T09:00,7.6,85,0,0,5.4,114,78,36
2022-12-02T10:00,9.4,77,0,0,7.9,272,218,54
2022-12-02T11:00,11.3,74,0,0,7.9,401,339,62
2022-12-02T12:00,12.8,72,0,0,8.6,482,417,65
2022-12-02T13:00,14,70,0,0,7.9,507,441,66
2022-12-02T14:00,14.8,71,0,19,7.1,469,402,67
2022-12-02T15:00,15.4,71,0,20,5.4,375,304,71
2022-12-02T16:00,15.4,70,0,19,4.7,237,178,59
2022-12-02T17:00,14.5,76,0,0,2.9,83,52,31
2022-12-02T18:00,13.2,80,0,0,2.5,1,0,1
2022-12-02T19:00,12.4,82,0,0,2.9,0,0,0
2022-12-02T20:00,11.6,87,0,27,3.7,0,0,0
2022-12-02T21:00,10.9,90,0,35,4.7,0,0,0
2022-12-02T22:00,10.9,88,0,30,5.9,0,0,0
2022-12-02T23:00,10.9,85,0,22,5.5,0,0,0
2022-12-03T00:00,11.2,87,0,42,6.6,0,0,0
2022-12-03T01:00,10.8,89,0,40,6,0,0,0
2022-12-03T02:00,10.6,90,0,41,6.5,0,0,0
2022-12-03T03:00,10.6,89,0,6,5.7,0,0,0
2022-12-03T04:00,10.4,89,0,1,6.4,0,0,0
2022-12-03T05:00,10.2,88,0,20,6.3,0,0,0
2022-12-03T06:00,9.5,91,0,70,6.5,0,0,0
2022-12-03T07:00,9.4,91,0,62,5.9,0,0,0
2022-12-03T08:00,9.1,93,0,61,5.8,4,1,3
2022-12-03T09:00,9.9,90,0,88,6.5,86,33,53
2022-12-03T10:00,10.9,87,0,94,7.5,144,39,105
2022-12-03T11:00,11.8,86,0,99,9.4,146,22,124
2022-12-03T12:00,13.2,86,0,89,7.8,112,5,107
2022-12-03T13:00,13.9,83,0.1,86,8.1,259,91,168
2022-12-03T14:00,14.7,80,0,81,6.5,286,128,158
2022-12-03T15:00,15,79,0,82,6,268,140,128
