latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
38.8125,-9.1875,46.0,0,Europe/Lisbon,WET

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),cloud_cover (%),wind_speed_10m (km/h),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²)
2019-01-01T00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-01T01:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-01T02:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-01T03:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-01T04:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-01T05:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-01T06:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-01T07:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-01T08:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-01T09:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-01T10:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-01T11:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-01T12:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-01T13:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-01T14:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-01T15:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-01T16:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-01T17:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-01T18:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-01T19:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-01T20:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-01T21:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-01T22:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-01T23:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-02T00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-02T01:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-02T02:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-02T03:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-02T04:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-02T05:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-02T06:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-02T07:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-02T08:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-02T09:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-02T10:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-02T11:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-02T12:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-02T13:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-02T14:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-02T15:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-02T16:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-02T17:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-02T18:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-02T19:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-02T20:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-02T21:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-02T22:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-02T23:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-03T00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-03T01:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-03T02:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-03T03:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-03T04:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-03T05:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-03T06:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-03T07:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-03T08:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-03T09:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-03T10:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-03T11:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-03T12:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-03T13:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-03T14:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-03T15:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-03T16:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-03T17:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-03T18:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-03T19:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-03T20:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-03T21:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
